#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
1667,George Klassen,691946,691946,sa3023440,12220,*067xm*,LAA,SP,SP,Klassen,George,Klassen,George,
1668,Jake Vogel,691949,691949,sa3014473,11135,*05jsa*,LAD,OF,OF,Vogel,Jake,Vogel,Jake,
1669,Sam Aldegheri,691951,691951,26443,12170,*06aw2*,LAA,SP,SP,Aldegheri,Sam,Aldegheri,Sam,Sam Aldegheri
1670,C.J. Kayfus,692216,692216,33704,12435,*06dn6*,CLE,OF,OF,Kayfus,C.J.,Kayfus,C.J.,CJ Kayfus
1671,Kristian Campbell,692225,692225,33644,12195,*06f0q*,BOS,2B,2B/OF,Campbell,Kristian,Campbell,Kristian,Kristian Campbell
1672,Carlos Rodriguez,692230,692230,30161,11915,*04loe*,MIL,RP,RP,Rodriguez,Carlos,Rodriguez,Carlos,Carlos Rodriguez
1673,Luis Guerrero,692285,692285,31184,12176,*06aop*,BOS,RP,RP,Guerrero,Luis,Guerrero,Luis,Luis Guerrero
1674,Yoniel Curet,692414,692414,sa3015446,11991,*05uec*,TB,SP,SP,Curet,Yoniel,Curet,Yoniel,
1675,Winston Santos,692437,692437,sa3015952,12291,*061lj*,TEX,SP,SP,Santos,Winston,Santos,Winston,
1676,Yanquiel Fernandez,692585,692585,28552,12219,*05g3k*,COL,OF,OF,Fernandez,Yanquiel,Fernández,Yanquiel,Yanquiel Fernández
1677,Oscar Colas,693049,693049,30162,11181,*05g2r*,LAA,DH,DH,Colas,Oscar,Colás,Oscar,Oscar Colás
1678,Nick Gonzales,693304,693304,27490,11038,*0597k*,PIT,2B,2B/SS,Gonzales,Nick,Gonzales,Nick,Nick Gonzales
1679,Dillon Dingler,693307,693307,27464,10920,*05gx4*,DET,C,C,Dingler,Dillon,Dingler,Dillon,Dillon Dingler
1680,Nick Frasso,693308,693308,sa3014492,11931,*05jpo*,LAD,RP,RP,Frasso,Nick,Frasso,Nick,
1681,Burl Carraway,693310,693310,sa3014495,11074,*05jp6*,CHC,RP,RP,Carraway,Burl,Carraway,Burl,
1682,Tink Hence,693311,693311,sa3014709,12033,*05jpx*,STL,SP,SP,Hence,Tink,Hence,Tink,
1683,Kyle Nicolas,693312,693312,27775,11869,*05l9g*,PIT,RP,RP,Nicolas,Kyle,Nicolas,Kyle,Kyle Nicolas
1684,Carson Seymour,693313,693313,30084,12283,*05jqk*,SF,RP,RP,Seymour,Carson,Seymour,Carson,Carson Seymour
1685,Bryan Woo,693433,693433,30279,11800,*05y62*,SEA,SP,SP,Woo,Bryan,Woo,Bryan,Bryan Woo
1686,Taylor Dollard,693440,693440,sa3014982,11721,*05jrq*,SEA,SP,SP,Dollard,Taylor,Dollard,Taylor,
1687,Cam Schlittler,693645,693645,32095,12361,,NYY,SP,SP,Schlittler,Cam,Schlittler,Cam,Cam Schlittler
1688,Emiliano Teodo,693713,693713,sa3015158,11945,*05uo4*,TEX,SP,SP,Teodo,Emiliano,Teodo,Emiliano,
1689,Bryce Elder,693821,693821,27779,11307,*05jp9*,ATL,SP,SP,Elder,Bryce,Elder,Bryce,Bryce Elder
